# #492 server-java 최종 게이트 — COLD (`./gradlew test --rerun-tasks`)
# 2026-08-13T00:04:41 · feat/492-event-board · 측정 트리 HEAD=bf549b72
TOTAL classes=178 tests=1216 skipped=1 failures=0 errors=0
RESULT BUILD SUCCESSFUL in 2m 36s

## ⚠️ 이 수치가 무엇에 대한 것인가 (읽는 법)
#
# 측정 대상 = `server-java/src/**`(main + test). **문서·증빙 파일은 이 수치를 바꾸지 않는다**
# — `evidence/**` · `docs/**` · `*.md` 만 바꾼 커밋 뒤에도 위 숫자는 그대로다.
#
# 그래서 `HEAD=` 가 리포의 현재 HEAD 보다 **뒤에 있어도 스테일이 아니다**(문서 커밋이 그 사이에
# 있는 경우). 스테일 판정은 커밋 해시 일치가 아니라 아래 명령으로 한다:
#
#     git diff --stat bf549b72..HEAD -- server-java/src
#
# 출력이 비어 있으면 이 수치는 현재 코드의 것이다. 비어 있지 않으면 콜드 재실행이 필요하다.
# (AC7 패널 5R 증빙무결성 렌즈 — 헤더 갱신만으로는 다음 docs 커밋에서 같은 지적이 재발한다.)

## 전 클래스
  online.hmb.PlayerCatalogMissingFileTest                 tests=1 skipped=0 failures=0 errors=0 time=0.002s
  online.hmb.PlayerCatalogSeedImportTest                  tests=3 skipped=0 failures=0 errors=0 time=0.005s
  online.hmb.PlayerCatalogV22SeedTest                     tests=1 skipped=0 failures=0 errors=0 time=0.002s
  online.hmb.PlayerCatalogV23SeedTest                     tests=2 skipped=0 failures=0 errors=0 time=0.002s
  online.hmb.PlayerCatalogV24SeedTest                     tests=2 skipped=0 failures=0 errors=0 time=0.007s
  online.hmb.PlayerCatalogV27SeedTest                     tests=8 skipped=0 failures=0 errors=0 time=0.011s
  online.hmb.PlayerCatalogV281SeedTest                    tests=6 skipped=0 failures=0 errors=0 time=0.011s
  online.hmb.PlayerPersonalityImportTest                  tests=2 skipped=0 failures=0 errors=0 time=0.002s
  online.hmb.PresetApiTest                                tests=4 skipped=0 failures=0 errors=0 time=0.06s
  online.hmb.RankingApiTest                               tests=5 skipped=0 failures=0 errors=0 time=0.069s
  online.hmb.RankingEligibilityTest                       tests=4 skipped=0 failures=0 errors=0 time=0.057s
  online.hmb.ReuseOnNoChangeDisabledTest                  tests=1 skipped=0 failures=0 errors=0 time=0.04s
  online.hmb.RewardBundleFlowTest                         tests=5 skipped=0 failures=0 errors=0 time=0.321s
  online.hmb.SeasonIncomeProbeTest                        tests=1 skipped=0 failures=0 errors=0 time=1.035s
  online.hmb.SecondHalfPrefetchTest                       tests=8 skipped=0 failures=0 errors=0 time=0.449s
  online.hmb.SqliteBusyMappingTest                        tests=3 skipped=0 failures=0 errors=0 time=0.0s
  online.hmb.StarterPackAndMeTest                         tests=2 skipped=0 failures=0 errors=0 time=0.021s
  online.hmb.StarterReworkTest                            tests=9 skipped=0 failures=0 errors=0 time=0.123s
  online.hmb.StarterTopMissingPlayerTest                  tests=2 skipped=0 failures=0 errors=0 time=0.019s
  online.hmb.TeamPresetApiTest                            tests=8 skipped=0 failures=0 errors=0 time=0.062s
  online.hmb.TradeApiTest                                 tests=20 skipped=0 failures=0 errors=0 time=0.246s
  online.hmb.TradeBusyRetryTest                           tests=2 skipped=0 failures=0 errors=0 time=0.028s
  online.hmb.TradeConcurrencyTest                         tests=1 skipped=0 failures=0 errors=0 time=0.145s
  online.hmb.TradeWaitSecondsOverrideTest                 tests=1 skipped=0 failures=0 errors=0 time=0.015s
  online.hmb.UserSquadApiTest                             tests=11 skipped=0 failures=0 errors=0 time=0.196s
  online.hmb.chars.CharBundleEntryNameTest                tests=7 skipped=0 failures=0 errors=0 time=0.002s
  online.hmb.league.LegacyRosterFillTest                  tests=3 skipped=0 failures=0 errors=0 time=0.003s
  online.hmb.meta.StarterDeckBuilderTest                  tests=6 skipped=0 failures=0 errors=0 time=0.003s
